model,model_name,metric,point,ci_low,ci_high,n_bootstrap,conditioning
qwen3.5_latest,Qwen 3.5,dar,1.0,1.0,1.0,5000,conditional_on_observed_replays
qwen3.5_latest,Qwen 3.5,tar,1.0,1.0,1.0,5000,conditional_on_observed_replays
qwen3.5_latest,Qwen 3.5,tar_multiset,1.0,1.0,1.0,5000,conditional_on_observed_replays
qwen3.5_latest,Qwen 3.5,tar_set,1.0,1.0,1.0,5000,conditional_on_observed_replays
qwen3.5_latest,Qwen 3.5,gap,0.0,0.0,0.0,5000,conditional_on_observed_replays
qwen3.5_latest,Qwen 3.5,gap_multiset,0.0,0.0,0.0,5000,conditional_on_observed_replays
qwen3.5_latest,Qwen 3.5,gap_set,0.0,0.0,0.0,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,dar,0.99875,0.9962500000000001,1.0,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,tar,0.9975,0.99375,1.0,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,tar_multiset,0.99875,0.9962500000000001,1.0,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,tar_set,0.99875,0.9962500000000001,1.0,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,gap,0.00125,0.0,0.00375,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,gap_multiset,0.0,0.0,0.0,5000,conditional_on_observed_replays
gemma4_latest,Gemma 4,gap_set,0.0,0.0,0.0,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,dar,0.9962500000000001,0.99125,1.0,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,tar,0.9962500000000001,0.99125,1.0,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,tar_multiset,0.9962500000000001,0.99125,1.0,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,tar_set,0.9962500000000001,0.99125,1.0,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,gap,0.0,-0.00375,0.00375,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,gap_multiset,0.0,-0.00375,0.00375,5000,conditional_on_observed_replays
qwen2.5_7b-instruct,Qwen 2.5 7B,gap_set,0.0,-0.00375,0.00375,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,dar,0.98,0.97,0.98875,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,tar,0.97875,0.97,0.9875,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,tar_multiset,0.98,0.97125,0.98875,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,tar_set,0.9875,0.98,0.99375,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,gap,0.0012500000000000002,-0.0075,0.00875,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,gap_multiset,0.0,-0.00875,0.0075,5000,conditional_on_observed_replays
gpt-oss_20b,GPT-OSS 20B,gap_set,-0.0075,-0.01625,0.0,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,dar,0.9366666666666666,0.9133333333333332,0.96,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,tar,0.8866666666666666,0.8500000000000001,0.9199999999999998,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,tar_multiset,0.8999999999999999,0.8666666666666666,0.9299999999999999,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,tar_set,0.94,0.9133333333333333,0.9633333333333333,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,gap,0.05000000000000001,0.01666666666666667,0.08666666666666667,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,gap_multiset,0.036666666666666674,0.0033333333333333375,0.07,5000,conditional_on_observed_replays
gemini-2.0-flash,Gemini 2.0 Flash,gap_set,-0.003333333333333334,-0.030000000000000006,0.023333333333333345,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,dar,0.8863636363636362,0.8333333333333333,0.9393939393939393,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,tar,0.75,0.6818181818181818,0.8181818181818183,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,tar_multiset,0.7954545454545454,0.7272727272727274,0.856060606060606,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,tar_set,0.856060606060606,0.8030303030303031,0.9090909090909091,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,gap,0.13636363636363635,0.06818181818181819,0.20454545454545459,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,gap_multiset,0.09090909090909091,0.02272727272727274,0.1515151515151515,5000,conditional_on_observed_replays
gemini-2.5-pro,Gemini 2.5 Pro,gap_set,0.0303030303030303,-0.030303030303030318,0.09090909090909093,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,dar,0.8899999999999999,0.85,0.9266666666666667,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,tar,0.7033333333333334,0.6499166666666666,0.7599999999999999,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,tar_multiset,0.7533333333333332,0.7,0.8066666666666666,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,tar_set,0.8566666666666667,0.8066666666666666,0.9033333333333334,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,gap,0.18666666666666665,0.12333333333333335,0.2466666666666667,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,gap_multiset,0.13666666666666666,0.07666666666666669,0.19333333333333336,5000,conditional_on_observed_replays
claude-opus-4-20250514,Claude Opus 4,gap_set,0.03333333333333333,-0.026666666666666672,0.09333333333333332,5000,conditional_on_observed_replays
claude-sonnet-4-20250514,Claude Sonnet 4,dar,0.9433333333333332,0.9199999999999997,0.9666666666666666,5000,conditional_on_observed_replays
claude-sonnet-4-20250514,Claude Sonnet 4,tar,0.7333333333333332,0.6900000000000002,0.7766666666666667,5000,conditional_on_observed_replays
claude-sonnet-4-20250514,Claude Sonnet 4,tar_multiset,0.7866666666666666,0.7466666666666667,0.8266666666666665,5000,conditional_on_observed_replays
